words@nns1982m	@nns1982m	15.234	15.398	ничего
words@nns1982m	@nns1982m	15.398	15.562	не
words@nns1982m	@nns1982m	15.562	15.726	было
words@nns1982m	@nns1982m	15.726	15.89	/
words@nns1982m	@nns1982m	15.89	16.054	я
words@nns1982m	@nns1982m	16.054	16.218	не
words@nns1982m	@nns1982m	16.218	16.382	знаю
words@nns1982m	@nns1982m	16.382	16.546	/
words@nns1982m	@nns1982m	16.546	16.71	много
words@nns1982m	@nns1982m	16.71	16.874	ли
words@nns1982m	@nns1982m	16.874	17.038	она
words@nns1982m	@nns1982m	17.038	17.202	изменила
words@nns1982m	@nns1982m	17.202	17.366	/
words@nns1982m	@nns1982m	17.366	17.53	/
words@nns1982m	@nns1982m	19.47	19.624	ещё
words@nns1982m	@nns1982m	19.624	19.778	ухудшила
words@nns1982m	@nns1982m	19.778	19.932	/
words@nns1982m	@nns1982m	19.932	20.086	/
words@nns1982m	@nns1982m	20.086	20.24	можно
words@nns1982m	@nns1982m	20.24	20.394	я
words@nns1982m	@nns1982m	20.394	20.548	их
words@nns1982m	@nns1982m	20.548	20.702	перечислю
words@nns1982m	@nns1982m	20.702	20.856	?
words@nns1982m	@nns1982m	20.856	21.01	/
words@nns1982m	@nns1982m	21.01	21.17	/
words@nns1982m	@nns1982m	21.97	22.335	ааа
words@nns1982m	@nns1982m	22.335	22.7	/
words@nns1982m	@nns1982m	22.7	23.065	демографическое
words@nns1982m	@nns1982m	23.065	23.43	сжатие
words@nns1982m	@nns1982m	23.43	23.795	и
words@nns1982m	@nns1982m	23.795	24.16	/
words@nns1982m	@nns1982m	24.16	24.53	/
words@nns1982m	@nns1982m	49.07	49.275	и
words@nns1982m	@nns1982m	49.275	49.48	постарение
words@nns1982m	@nns1982m	49.48	49.685	/
words@nns1982m	@nns1982m	49.685	49.89	/
words@nns1982m	@nns1982m	53.11	53.477	устойчивое
words@nns1982m	@nns1982m	53.477	53.844	региональное
words@nns1982m	@nns1982m	53.844	54.211	неравенство
words@nns1982m	@nns1982m	54.211	54.578	/
words@nns1982m	@nns1982m	54.578	54.945	поворота
words@nns1982m	@nns1982m	54.945	55.312	на
words@nns1982m	@nns1982m	55.312	55.679	восток
words@nns1982m	@nns1982m	55.679	56.046	нет
words@nns1982m	@nns1982m	56.046	56.413	/
words@nns1982m	@nns1982m	56.413	56.78	/
words@nns1982m	@nns1982m	85.79	85.966	#нрзб#
words@nns1982m	@nns1982m	85.966	86.142	/
words@nns1982m	@nns1982m	86.142	86.32	/
words@nns1982m	@nns1982m	131.11	131.372	ну
words@nns1982m	@nns1982m	131.372	131.634	/
words@nns1982m	@nns1982m	131.634	131.896	про
words@nns1982m	@nns1982m	131.896	132.158	сверхконцен...
words@nns1982m	@nns1982m	132.158	132.42	/
words@nns1982m	@nns1982m	132.42	132.682	сверхконцентрацию
words@nns1982m	@nns1982m	132.682	132.944	экономики
